"Date","Price","Open","High","Low","Change %"
"Jul 23, 2006","1.4607","1.4630","1.4689","1.4564","-0.25%"
"Jul 16, 2006","1.4644","1.4542","1.4669","1.4502","0.80%"
"Jul 09, 2006","1.4528","1.4437","1.4553","1.4418","0.57%"
"Jul 02, 2006","1.4446","1.4443","1.4461","1.4356","-0.01%"
"Jun 25, 2006","1.4448","1.4539","1.4553","1.4387","-0.54%"
"Jun 18, 2006","1.4527","1.4638","1.4690","1.4511","-0.73%"
"Jun 11, 2006","1.4634","1.4574","1.4676","1.4566","0.49%"
"Jun 04, 2006","1.4563","1.4568","1.4608","1.4462","-0.04%"
"May 28, 2006","1.4569","1.4593","1.4656","1.4519","-0.21%"
"May 21, 2006","1.4600","1.4711","1.4717","1.4556","-0.70%"
"May 14, 2006","1.4703","1.4645","1.4810","1.4639","0.42%"
